partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
super_class,central | motor,8,800-900,850.0,2287,96,267.0,267.0,0.04197638828159161,0.03449661973892766,0.050992311490538414
super_class,central | motor,9,900-1000,950.0,2272,65,172.0,172.0,0.028609154929577465,0.02250967565352601,0.03630004115629063
super_class,central | motor,10,1000-1100,1050.0,2158,52,112.0,112.0,0.024096385542168676,0.018422654801090052,0.031461481020886924
super_class,central | motor,11,1100-1200,1150.0,2145,55,99.0,99.0,0.02564102564102564,0.019752325379681676,0.033225800136875705
super_class,central | motor,12,1200-1300,1250.0,2012,51,124.0,124.0,0.025347912524850896,0.019331519638395814,0.033173399398893626
super_class,central | motor,13,1300-1400,1350.0,1969,34,68.0,68.0,0.017267648552564754,0.012382933102358483,0.024032357410574738
super_class,central | motor,14,1400-1500,1450.0,1850,32,45.0,45.0,0.017297297297297298,0.012278880160102548,0.024316263675271517
super_class,central | motor,15,1500-1600,1550.0,1792,31,70.0,70.0,0.017299107142857144,0.012213540095908134,0.024449827096387666
super_class,central | motor,16,1600-1700,1650.0,1859,28,84.0,84.0,0.01506186121570737,0.0104411279110177,0.021682698398207953
super_class,central | motor,17,1700-1800,1750.0,1775,30,111.0,111.0,0.016901408450704224,0.011864252579123519,0.024025171189693217
super_class,central | motor,18,1800-1900,1850.0,1685,22,39.0,39.0,0.013056379821958458,0.008637871718512682,0.019690184624959674
super_class,central | motor,19,1900-2000,1950.0,1615,18,34.0,34.0,0.011145510835913313,0.007061554216897362,0.01754962454203742
super_class,central | optic,0,0-100,50.0,7218,2509,8685.0,8685.0,0.3476032141867553,0.33670075600819427,0.35866780483091365
super_class,central | optic,1,100-200,150.0,3601,861,2421.0,2421.0,0.23910024993057485,0.22545142286446224,0.2533051471884356
super_class,central | optic,2,200-300,250.0,2388,415,1065.0,1065.0,0.173785594639866,0.15911450968634752,0.18950456274721159
super_class,central | optic,3,300-400,350.0,2223,303,641.0,641.0,0.13630229419703105,0.12266496435015602,0.15119447854870127
super_class,central | optic,4,400-500,450.0,2175,275,710.0,710.0,0.12643678160919541,0.11312497786630693,0.1410658729050388
super_class,central | optic,5,500-600,550.0,2025,230,569.0,569.0,0.11358024691358025,0.10048543639323906,0.1281384246316926
super_class,central | optic,6,600-700,650.0,2072,206,497.0,497.0,0.09942084942084942,0.08726846781829078,0.113055872921388
super_class,central | optic,7,700-800,750.0,2120,170,339.0,339.0,0.08018867924528301,0.06937259573191865,0.09252347034005207
super_class,central | optic,8,800-900,850.0,2142,152,311.0,311.0,0.07096171802054155,0.060838778178337216,0.08262083226075576
super_class,central | optic,9,900-1000,950.0,2102,111,244.0,244.0,0.05280685061845861,0.04403558129442053,0.06320971198879699
super_class,central | optic,10,1000-1100,1050.0,2089,106,278.0,278.0,0.05074198180947822,0.04212760138183816,0.06100566966934891
super_class,central | optic,11,1100-1200,1150.0,2005,99,250.0,250.0,0.04937655860349127,0.04072487996114181,0.059751733028155105
super_class,central | optic,12,1200-1300,1250.0,2133,101,229.0,229.0,0.0473511486169714,0.039122853884099924,0.057206981701279906
super_class,central | optic,13,1300-1400,1350.0,2084,90,168.0,168.0,0.04318618042226487,0.03526675642512128,0.05278666678476207
super_class,central | optic,14,1400-1500,1450.0,2082,69,181.0,181.0,0.03314121037463977,0.026270957515032483,0.041731138137868475
super_class,central | optic,15,1500-1600,1550.0,2105,58,107.0,107.0,0.027553444180522565,0.021374849072425324,0.035453316684547605
super_class,central | optic,16,1600-1700,1650.0,2053,73,138.0,138.0,0.035557720409157334,0.02837514860755541,0.04447518658597627
