partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
side,center | left,17,1700-1800,1750.0,4551,120,239.0,239.0,0.026367831245880026,0.022096956967080836,0.03143763795714221
side,center | left,18,1800-1900,1850.0,4455,112,229.0,229.0,0.025140291806958474,0.02093607261851632,0.03016275986748184
side,center | left,19,1900-2000,1950.0,4272,84,123.0,123.0,0.019662921348314606,0.015910592406612842,0.024278361272120248
side,center | right,0,0-100,50.0,40023,18221,126815.0,126815.0,0.4552632236464033,0.45038880495399847,0.4601462296164034
side,center | right,1,100-200,150.0,14483,3872,10183.0,10183.0,0.2673479251536284,0.2602023223458754,0.2746169166523614
side,center | right,2,200-300,250.0,8973,1827,4320.0,4320.0,0.20361083249749248,0.19540646750188692,0.21206887438227864
side,center | right,3,300-400,350.0,7746,1393,3160.0,3160.0,0.17983475342112057,0.171441375703827,0.1885455432546198
side,center | right,4,400-500,450.0,7412,1091,2344.0,2344.0,0.1471937398812736,0.13931052124412718,0.15544248426774887
side,center | right,5,500-600,550.0,6747,886,1669.0,1669.0,0.13131762264710242,0.12346777072574129,0.1395870756507461
side,center | right,6,600-700,650.0,6590,737,1470.0,1470.0,0.1118361153262519,0.10445170804095343,0.11967281445288384
side,center | right,7,700-800,750.0,6367,560,1142.0,1142.0,0.0879535102874195,0.0812426067735484,0.09516133960615751
side,center | right,8,800-900,850.0,6097,468,863.0,863.0,0.0767590618336887,0.0703401465119998,0.08371099292423798
side,center | right,9,900-1000,950.0,6085,416,828.0,828.0,0.06836483155299918,0.06229220739336947,0.07498211421158081
side,center | right,10,1000-1100,1050.0,5632,309,568.0,568.0,0.054865056818181816,0.049215470823672815,0.06112148399776859
side,center | right,11,1100-1200,1150.0,5644,304,524.0,524.0,0.05386250885896527,0.04827059297365734,0.06006134041484278
side,center | right,12,1200-1300,1250.0,5381,244,483.0,483.0,0.045344731462553425,0.04010242574700521,0.05123574843438574
side,center | right,13,1300-1400,1350.0,5133,201,331.0,331.0,0.03915838690824079,0.03418732202557231,0.044818734925843116
side,center | right,14,1400-1500,1450.0,4985,182,343.0,343.0,0.03650952858575727,0.031649662673047606,0.04208320549418384
side,center | right,15,1500-1600,1550.0,4865,123,245.0,245.0,0.02528263103802672,0.02123176713113358,0.03008261532895713
side,center | right,16,1600-1700,1650.0,4762,133,267.0,267.0,0.027929441411171776,0.02361644710759939,0.03300347916103698
side,center | right,17,1700-1800,1750.0,4566,103,198.0,198.0,0.022558037669732807,0.018635445218600603,0.02728334548959374
side,center | right,18,1800-1900,1850.0,4529,122,256.0,256.0,0.02693751379995584,0.022608170974235273,0.032068701034704994
side,center | right,19,1900-2000,1950.0,4577,100,191.0,191.0,0.021848372296263928,0.017996947205080056,0.02650177547504929
side,left | left,0,0-100,50.0,8228498,3625204,18109475.0,18109475.0,0.44056691755895183,0.4402277297962084,0.4409061608161543
side,left | left,1,100-200,150.0,2956654,667371,1499846.0,1499846.0,0.22571832889475738,0.22524215712022536,0.22619521342032392
side,left | left,2,200-300,250.0,1829263,295367,587450.0,587450.0,0.1614677605133871,0.16093523391277395,0.1620017090010882
side,left | left,3,300-400,350.0,1596498,200587,373075.0,373075.0,0.12564187365095353,0.12512863148246037,0.12615691742611032
side,left | left,4,400-500,450.0,1528536,151523,267257.0,267257.0,0.0991294938424741,0.09865674906328835,0.09960425359581303
side,left | left,5,500-600,550.0,1424431,110578,188397.0,188397.0,0.07762959385186084,0.07719128993194131,0.07807017597799222
side,left | left,6,600-700,650.0,1412214,87465,145215.0,145215.0,0.06193466429308873,0.06153830699244711,0.0623334048971331
side,left | left,7,700-800,750.0,1351722,66627,108694.0,108694.0,0.04929046061246321,0.04892680292670242,0.04965668012801703
side,left | left,8,800-900,850.0,1311038,52285,84141.0,84141.0,0.03988061368167818,0.039547000452047947,0.04021692338456868
side,left | left,9,900-1000,950.0,1278990,41783,66614.0,66614.0,0.03266874643273208,0.03236205827325493,0.032978241954817716
side,left | left,10,1000-1100,1050.0,1223315,33012,52292.0,52292.0,0.026985690521247593,0.026700019578445523,0.027274332286879335
side,left | left,11,1100-1200,1150.0,1202426,26926,42078.0,42078.0,0.022393062026270224,0.02213012041780118,0.02265905541331202
side,left | left,12,1200-1300,1250.0,1162275,22058,34718.0,34718.0,0.018978296874663913,0.018731814761018862,0.019227958763950722
side,left | left,13,1300-1400,1350.0,1135429,17981,28417.0,28417.0,0.01583630504417273,0.015608303440934236,0.016067582866281068
side,left | left,14,1400-1500,1450.0,1114040,15293,23770.0,23770.0,0.013727514272378012,0.013513112175463748,0.013945270033324901
side,left | left,15,1500-1600,1550.0,1081059,12550,19545.0,19545.0,0.011608987113561795,0.011408789210797927,0.011812656050280226
side,left | left,16,1600-1700,1650.0,1069947,11003,17318.0,17318.0,0.010283686948979716,0.01009427411419839,0.010476616383057143
side,left | left,17,1700-1800,1750.0,1044452,9611,15204.0,15204.0,0.009201954709263806,0.009020627693117556,0.009386892121744095
side,left | left,18,1800-1900,1850.0,1029869,8120,12590.0,12590.0,0.00788449793129029,0.007715506223882774,0.008057160986919418
side,left | left,19,1900-2000,1950.0,1019636,7326,11607.0,11607.0,0.007184916970369818,0.007022825905658428,0.007350721500063108
