partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
flow,afferent | afferent,0,0-100,50.0,88322,35825,128491.0,128491.0,0.40561807930074045,0.4023839820089598,0.4088603865926748
flow,afferent | afferent,14,1400-1500,1450.0,17796,537,963.0,963.0,0.030175320296695885,0.027761511681335165,0.032791926052627596
flow,afferent | afferent,15,1500-1600,1550.0,17098,431,719.0,719.0,0.025207626622996842,0.022962461631319264,0.027666097576011947
flow,afferent | afferent,16,1600-1700,1650.0,17723,414,686.0,686.0,0.02335947638661626,0.021236860490403166,0.025688678687427587
flow,afferent | afferent,17,1700-1800,1750.0,18060,387,638.0,638.0,0.02142857142857143,0.01941614033104254,0.023644556126791776
flow,afferent | afferent,18,1800-1900,1850.0,18090,355,608.0,608.0,0.019624101713653953,0.017702448617817147,0.021749737146868668
flow,afferent | afferent,19,1900-2000,1950.0,18272,334,524.0,524.0,0.018279334500875658,0.016435765647820837,0.020325419675650123
flow,afferent | efferent,0,0-100,50.0,50551,30099,250763.0,250763.0,0.5954184882593816,0.5911327576631749,0.5996897173893432
flow,afferent | efferent,1,100-200,150.0,21493,8698,36238.0,36238.0,0.40468989903689573,0.39814543325261104,0.41126842966574423
flow,afferent | efferent,2,200-300,250.0,14815,4849,17079.0,17079.0,0.32730340870739116,0.31979305676526465,0.3349032995275241
flow,afferent | efferent,3,300-400,350.0,13788,3609,10670.0,10670.0,0.26174934725848564,0.25447889726598705,0.2691525226308308
flow,afferent | efferent,4,400-500,450.0,13946,3031,9433.0,9433.0,0.21733830489029113,0.21057144175074013,0.22426085053851427
flow,afferent | efferent,5,500-600,550.0,13633,2495,6820.0,6820.0,0.18301180957969632,0.17661046446375347,0.18959175057114133
flow,afferent | efferent,6,600-700,650.0,14108,2175,5809.0,5809.0,0.15416784802948683,0.14830321113601277,0.1602207734302539
flow,afferent | efferent,7,700-800,750.0,14016,1837,4809.0,4809.0,0.131064497716895,0.1255784198492285,0.13675276083971735
flow,afferent | efferent,8,800-900,850.0,14088,1594,3815.0,3815.0,0.11314593980692789,0.108020144027155,0.11848265742357945
flow,afferent | efferent,9,900-1000,950.0,14004,1375,3403.0,3403.0,0.09818623250499857,0.09336738387119524,0.103225473089723
flow,afferent | efferent,10,1000-1100,1050.0,13764,1158,2725.0,2725.0,0.08413251961639058,0.07961027366172065,0.08888684210986116
flow,afferent | efferent,11,1100-1200,1150.0,14062,1094,2740.0,2740.0,0.07779832171810554,0.0734855197669587,0.08234174335251222
flow,afferent | efferent,12,1200-1300,1250.0,13892,902,2056.0,2056.0,0.06492945580190038,0.060951056080664534,0.0691484119501167
flow,afferent | efferent,13,1300-1400,1350.0,13882,836,1874.0,1874.0,0.060221870047543584,0.056384724574792607,0.06430234994865579
flow,afferent | efferent,14,1400-1500,1450.0,13930,762,1611.0,1611.0,0.05470208183776023,0.05104707430982654,0.05860262918615694
flow,afferent | efferent,15,1500-1600,1550.0,13916,721,1513.0,1513.0,0.05181086519114688,0.04825036889023187,0.055618744103122876
