partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
pre_neuropil,MB_CA_R | MB_ML_R,19166,6568,3315.2147947937697,105648.0,105648.0,0.34269018052801836,1.9811687647854435,0.9862440334948387,0.16971643562591204,enriched
pre_neuropil,ATL_L | MB_ML_L,2808,18,187.64368023839367,29.0,29.0,0.00641025641025641,0.09592649204669047,-3.34623765412103,-0.06041441603931399,depleted
pre_neuropil,ICL_R | MB_ML_R,8450,30,287.40004317465883,54.0,54.0,0.0035502958579881655,0.10438411793058915,-3.238686857465605,-0.030461543570965543,depleted
pre_neuropil,LA_L | LOP_L,3806,52,381.6679958390946,65.0,65.0,0.013662637940094587,0.13624406700823405,-2.863817638865915,-0.08661797053050305,depleted
pre_neuropil,LA_R | LOP_R,8318,135,932.3134188428862,164.0,164.0,0.016229862947823998,0.14480109078291648,-2.7832956907744864,-0.09585398158726692,depleted
pre_neuropil,ICL_L | MB_ML_L,11977,82,539.8096610534409,128.0,128.0,0.006846455706771312,0.15190539539432593,-2.711320453957846,-0.03822406788456549,depleted
pre_neuropil,IB_R | MB_ML_R,2265,20,130.06548281124702,51.0,51.0,0.008830022075055188,0.15376869841035612,-2.6710777316665535,-0.04859403214624593,depleted
pre_neuropil,FB | ICL_L,7411,143,706.0575395825263,217.0,217.0,0.019295641613817298,0.2025330684586305,-2.2997563164964214,-0.07597591952267255,depleted
pre_neuropil,FB | IB_L,5261,135,609.7244443741818,201.0,201.0,0.02566052081353355,0.22141149374216634,-2.1710471209809192,-0.09023464063375437,depleted
pre_neuropil,GNG | MB_ML_R,2072,23,104.34946415482989,25.0,25.0,0.0111003861003861,0.22041320658698782,-2.157586826492537,-0.039261324399049176,depleted
pre_neuropil,LA_L | PLP_L,2000,62,276.4094800500966,82.0,82.0,0.031,0.2243048971719895,-2.147486350609264,-0.10720474002504829,depleted
pre_neuropil,MB_ML_R | SCL_R,6274,76,317.0012515641563,211.0,211.0,0.012113484220592923,0.23974668751305778,-2.0532306259648063,-0.03841269549954675,depleted
pre_neuropil,FB | IB_R,7650,234,943.730308549141,503.0,503.0,0.03058823529411765,0.24795219341820618,-2.009550869554952,-0.09277520373191385,depleted
pre_neuropil,LA_R | PLP_R,6571,228,904.487287920116,376.0,376.0,0.034697915081418354,0.2520765112401855,-1.9857033619584503,-0.10295043188557541,depleted
pre_neuropil,GNG | MB_ML_L,3487,50,193.91623068595914,93.0,93.0,0.014338973329509607,0.2578432956495185,-1.9447933732541034,-0.041272219869790405,depleted
pre_neuropil,EB | MB_ML_L,3512,26,100.04456220164994,56.0,56.0,0.007403189066059226,0.2598841898832479,-1.923770793017358,-0.021083303588169115,depleted
pre_neuropil,FB | ICL_R,6601,133,494.31343644313836,249.0,249.0,0.02014846235418876,0.26906005419761475,-1.8900449346882138,-0.05473616670854997,depleted
pre_neuropil,AOTU_L | PVLP_L,29747,1522,5619.107061832514,3184.0,3184.0,0.05116482334353044,0.27086154138939694,-1.8840270286910372,-0.137731773349666,depleted
pre_neuropil,AOTU_R | PVLP_R,26901,1402,4978.952599473492,3524.0,3524.0,0.0521170216720568,0.28158532783546825,-1.8279863820151636,-0.13296727257252489,depleted
pre_neuropil,AMMC_R | LAL_R,2038,82,278.82423539754296,178.0,178.0,0.040235525024533855,0.2940920823582131,-1.759474729135951,-0.09657715181429978,depleted
pre_neuropil,EB | MB_ML_R,4308,40,129.40464115162132,77.0,77.0,0.009285051067780872,0.3091079241364508,-1.6814591623011104,-0.02075316646973568,depleted
pre_neuropil,AOTU_L | LH_L,2157,102,315.71765285462857,323.0,323.0,0.04728789986091794,0.3230734774496935,-1.6252939986833044,-0.09908097026176568,depleted
pre_neuropil,PB | SPS_R,3856,105,311.7444930882377,180.0,180.0,0.027230290456431536,0.3368142896762583,-1.5654331289797185,-0.05361631044819442,depleted
pre_neuropil,PB | SPS_L,3320,98,268.8406517707316,147.0,147.0,0.029518072289156625,0.36452820417789644,-1.4512363635516035,-0.05145802764178663,depleted
pre_neuropil,LAL_L | SLP_L,6697,292,790.5629950342428,687.0,687.0,0.043601612662386144,0.36935703015969296,-1.435355961284908,-0.07444572122356918,depleted
pre_neuropil,AVLP_R | MB_ML_L,2181,44,119.024207284974,76.0,76.0,0.020174232003668042,0.3696726993917539,-1.4254255962042102,-0.03439899462859881,depleted
pre_neuropil,AL_L | LO_L,2726,85,226.30627813424437,165.0,165.0,0.031181217901687455,0.37559718051471025,-1.4074642503884645,-0.0518364923456509,depleted
pre_neuropil,ATL_L | SLP_L,4797,202,534.3152067545184,430.0,430.0,0.04210965186574943,0.3780539978020976,-1.401118579119549,-0.06927563201053125,depleted
pre_neuropil,PVLP_R | SMP_L,2539,113,293.89950435018625,195.0,195.0,0.04450571090980701,0.38448516696155627,-1.3750829449652495,-0.07124832782598907,depleted
pre_neuropil,CRE_R | PVLP_R,2266,88,228.7481171561926,251.0,251.0,0.038834951456310676,0.3847026200434791,-1.3731605245237095,-0.062113026105998496,depleted
pre_neuropil,AVLP_L | MB_ML_L,6684,121,309.64061639576653,293.0,293.0,0.01810293237582286,0.3907756075686921,-1.351966161605488,-0.028222713404513246,depleted
pre_neuropil,LAL_R | SLP_L,3103,138,352.8633632415286,322.0,322.0,0.04447309055752498,0.39108622309860347,-1.351266492563262,-0.06924375225315134,depleted
pre_neuropil,LAL_R | SLP_R,7491,340,866.3348583751698,886.0,886.0,0.04538779869176345,0.3924579470779665,-1.3481023720306629,-0.0702622958717354,depleted
pre_neuropil,AVLP_L | FB,3509,77,192.78730723161854,189.0,189.0,0.0219435736677116,0.3994038876609789,-1.3184786864302138,-0.03299723774055815,depleted
pre_neuropil,ATL_R | SLP_R,5015,242,599.5727645495264,456.0,456.0,0.04825523429710867,0.40362073514433316,-1.3071527045709943,-0.07130065095703417,depleted
pre_neuropil,FB | MB_VL_R,2427,58,142.42759511659824,107.0,107.0,0.023897816234033788,0.4072244564160361,-1.288775955515338,-0.0347868129858254,depleted
pre_neuropil,FB | FLA_R,3784,171,416.76391657023305,396.0,396.0,0.04519027484143763,0.4103042350864919,-1.282751590702184,-0.0649481809117952,depleted
pre_neuropil,IB_L | PVLP_L,4081,182,442.3163059960083,452.0,452.0,0.044596912521440824,0.41147024772277435,-1.2788118840221248,-0.06378738201323408,depleted
pre_neuropil,FB | GNG,14273,591,1370.4013454613719,1556.0,1556.0,0.041406852098367544,0.4312605222968666,-1.2126746801274564,-0.0546066941400807,depleted
pre_neuropil,LAL_L | SLP_R,4464,225,518.4698830190991,494.0,494.0,0.05040322580645161,0.4339692764598085,-1.202523384717708,-0.0657414612497982,depleted
pre_neuropil,FB | SAD,3037,156,355.57943287804386,465.0,465.0,0.051366480079025355,0.43872053773567005,-1.186036450989688,-0.06571598053277704,depleted
pre_neuropil,AL_L | MB_ML_L,4397,168,382.76235217377,557.0,557.0,0.038207869001591996,0.4389146399741263,-1.1855836978876737,-0.04884292749005459,depleted
pre_neuropil,MB_ML_R | PLP_R,10846,392,819.0905122333826,1673.0,1673.0,0.03614235662917205,0.47857958814728385,-1.0622106294748668,-0.039377697974680305,depleted
pre_neuropil,ME_R | SIP_R,2206,113,235.31727259403715,158.0,158.0,0.05122393472348141,0.4802027439564306,-1.0549770958359672,-0.055447539707179125,depleted
pre_neuropil,AVLP_R | FB,4126,149,290.03984587440965,296.0,296.0,0.036112457586039745,0.5137225181967535,-0.9585905501301101,-0.03418319095356511,depleted
pre_neuropil,MB_ML_L | ME_L,2421,115,196.1635034076785,191.0,191.0,0.047501032631144156,0.5862456471375324,-0.7678363970878009,-0.0335247845550097,depleted
pre_neuropil,MB_ML_L | PLP_L,15519,782,1302.4449714713783,4149.0,4149.0,0.05038984470648882,0.6004092434834855,-0.7356134973070252,-0.03353598630526312,depleted
pre_neuropil,MB_ML_R | SPS_R,2288,102,155.96113417871095,164.0,164.0,0.044580419580419584,0.6540090935932885,-0.6101804184092947,-0.023584411791394647,depleted
pre_neuropil,AVLP_R | MB_ML_R,5210,197,272.0430799614849,264.0,264.0,0.03781190019193858,0.7241500134018873,-0.46463163654301115,-0.014403662180707278,depleted
pre_neuropil,MB_ML_R | MB_VL_R,268436,27848,36656.94928374865,53007.0,53007.0,0.10374167399305607,0.7596922423750638,-0.39650678110101784,-0.032815826803218075,depleted
