partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
pre_neuropil,AL_L | LO_L,17,1700-1800,1750.0,166,1,1.0,1.0,0.006024096385542169,0.0010641662329914856,0.03333023419658525
pre_neuropil,AL_L | MB_CA_L,0,0-100,50.0,2023,1701,22226.0,22226.0,0.8408304498269896,0.8242444891379767,0.8561244158618023
pre_neuropil,AL_L | MB_CA_L,6,600-700,650.0,102,17,24.0,24.0,0.16666666666666666,0.1067412826635907,0.2507892157415732
pre_neuropil,AL_L | MB_CA_L,9,900-1000,950.0,106,6,11.0,11.0,0.05660377358490566,0.026197262538493492,0.11802496292071321
pre_neuropil,AL_L | MB_CA_L,12,1200-1300,1250.0,156,9,14.0,14.0,0.057692307692307696,0.030645393965407268,0.1059998848606305
pre_neuropil,AL_L | MB_CA_L,14,1400-1500,1450.0,106,3,12.0,12.0,0.02830188679245283,0.009671108644619023,0.07992700354602641
pre_neuropil,AL_L | MB_CA_L,16,1600-1700,1650.0,112,2,2.0,2.0,0.017857142857142856,0.004910708625338288,0.062781726562021
pre_neuropil,AL_L | MB_CA_R,0,0-100,50.0,773,646,5616.0,5616.0,0.8357050452781372,0.8079348603920081,0.8601550050322947
pre_neuropil,AL_L | MB_CA_R,2,200-300,250.0,83,28,115.0,115.0,0.3373493975903614,0.2448415401300969,0.44424756002466764
pre_neuropil,AL_L | MB_CA_R,3,300-400,350.0,59,11,64.0,64.0,0.1864406779661017,0.10742612239043585,0.30379192425382523
pre_neuropil,AL_L | MB_CA_R,6,600-700,650.0,93,14,22.0,22.0,0.15053763440860216,0.09184093232479833,0.2369599135926586
pre_neuropil,AL_L | MB_CA_R,11,1100-1200,1150.0,102,2,3.0,3.0,0.0196078431372549,0.005393639125345434,0.06869443210562613
pre_neuropil,AL_L | MB_CA_R,12,1200-1300,1250.0,90,0,0.0,0.0,0.0,0.0,0.04093706842168078
pre_neuropil,AL_L | MB_CA_R,14,1400-1500,1450.0,96,1,2.0,2.0,0.010416666666666666,0.001841122818436635,0.056667554927112326
pre_neuropil,AL_L | MB_ML_L,0,0-100,50.0,365,74,414.0,414.0,0.20273972602739726,0.16468875241467285,0.24698281608519262
pre_neuropil,AL_L | MB_ML_L,5,500-600,550.0,199,7,8.0,8.0,0.035175879396984924,0.0171415481339399,0.07081674050113299
pre_neuropil,AL_L | MB_ML_L,6,600-700,650.0,198,4,8.0,8.0,0.020202020202020204,0.007883407186424475,0.05078437983072165
pre_neuropil,AL_L | MB_ML_L,8,800-900,850.0,221,6,6.0,6.0,0.027149321266968326,0.01250072674301225,0.05795598589379518
pre_neuropil,AL_L | MB_ML_L,9,900-1000,950.0,237,6,14.0,14.0,0.02531645569620253,0.011653100740721803,0.05412291137678614
pre_neuropil,AL_L | MB_ML_L,11,1100-1200,1150.0,240,2,3.0,3.0,0.008333333333333333,0.002288235363161974,0.029870346273441456
pre_neuropil,AL_L | MB_ML_L,12,1200-1300,1250.0,273,5,6.0,6.0,0.018315018315018316,0.007847704577012046,0.042150561579519345
pre_neuropil,AL_L | MB_ML_L,15,1500-1600,1550.0,209,1,1.0,1.0,0.004784688995215311,0.0008450932561194485,0.026600669226402765
pre_neuropil,AL_L | MB_ML_L,16,1600-1700,1650.0,231,3,3.0,3.0,0.012987012987012988,0.004426327366291737,0.03748106893828122
pre_neuropil,AL_L | MB_ML_L,17,1700-1800,1750.0,193,1,1.0,1.0,0.0051813471502590676,0.0009151977360702616,0.028761455979404514
pre_neuropil,AL_L | MB_ML_L,18,1800-1900,1850.0,203,1,1.0,1.0,0.0049261083743842365,0.0008700866124296495,0.027371814436488943
pre_neuropil,AL_L | MB_ML_L,19,1900-2000,1950.0,200,3,3.0,3.0,0.015,0.005114145184492384,0.04316648055627889
pre_neuropil,AL_R | AL_R,0,0-100,50.0,38090,25491,260869.0,260869.0,0.6692307692307692,0.6644889183663124,0.6739384877055393
pre_neuropil,AL_R | AL_R,1,100-200,150.0,8825,3785,7897.0,7897.0,0.4288951841359773,0.418602321491947,0.43924992494545656
pre_neuropil,AL_R | AL_R,2,200-300,250.0,6043,1947,3755.0,3755.0,0.32219096475260633,0.310524557011609,0.3340832990962805
pre_neuropil,AL_R | AL_R,3,300-400,350.0,5556,1362,2560.0,2560.0,0.2451403887688985,0.2340076455059642,0.2566253250448515
pre_neuropil,AL_R | AL_R,4,400-500,450.0,5482,1081,1924.0,1924.0,0.1971908062750821,0.18687179825156772,0.20793391396586122
pre_neuropil,AL_R | AL_R,5,500-600,550.0,5159,811,1250.0,1250.0,0.1572010079472766,0.14752389955896406,0.167388260442226
pre_neuropil,AL_R | AL_R,6,600-700,650.0,4945,571,992.0,992.0,0.11547017189079879,0.1068594551354586,0.12467788079382229
pre_neuropil,AL_R | AL_R,7,700-800,750.0,4746,453,767.0,767.0,0.09544879898862199,0.08741320799644409,0.10413877975826333
pre_neuropil,AL_R | AL_R,8,800-900,850.0,4561,352,505.0,505.0,0.07717605788204342,0.06978188208791701,0.08528189931470605
pre_neuropil,AL_R | AL_R,9,900-1000,950.0,4195,240,390.0,390.0,0.057210965435041714,0.050579541021028816,0.06465262205937887
pre_neuropil,AL_R | AL_R,10,1000-1100,1050.0,3908,193,301.0,301.0,0.04938587512794268,0.04302400589787842,0.05663279002146556
pre_neuropil,AL_R | AL_R,11,1100-1200,1150.0,3825,178,253.0,253.0,0.0465359477124183,0.04030323217715284,0.05367861340246059
pre_neuropil,AL_R | AL_R,12,1200-1300,1250.0,3625,152,259.0,259.0,0.041931034482758624,0.035876594415893484,0.048955325500368504
pre_neuropil,AL_R | AL_R,13,1300-1400,1350.0,3282,112,185.0,185.0,0.03412553321145643,0.028438625214437532,0.040901783647633
pre_neuropil,AL_R | AL_R,14,1400-1500,1450.0,3179,99,208.0,208.0,0.031141868512110725,0.025646656819333705,0.03776887727447731
pre_neuropil,AL_R | AL_R,15,1500-1600,1550.0,2992,80,109.0,109.0,0.026737967914438502,0.02153640112514617,0.03315327272142836
pre_neuropil,AL_R | AL_R,16,1600-1700,1650.0,2884,72,111.0,111.0,0.024965325936199722,0.019871800337826005,0.031322697310521466
pre_neuropil,AL_R | AL_R,17,1700-1800,1750.0,2852,59,104.0,104.0,0.020687237026647966,0.016071963476380915,0.026592027411629117
pre_neuropil,AL_R | AL_R,18,1800-1900,1850.0,2707,50,114.0,114.0,0.01847063169560399,0.014038591678935616,0.024267445826169808
pre_neuropil,AL_R | AL_R,19,1900-2000,1950.0,2645,40,44.0,44.0,0.015122873345935728,0.01112550876277674,0.02052666704116714
pre_neuropil,AL_R | LH_R,0,0-100,50.0,20313,13674,188418.0,188418.0,0.6731649682469355,0.6666822416379945,0.6795822092301957
pre_neuropil,AL_R | LH_R,1,100-200,150.0,3746,1200,2934.0,2934.0,0.3203416978109984,0.305589740934152,0.3354617637480725
pre_neuropil,AL_R | LH_R,2,200-300,250.0,2299,551,1307.0,1307.0,0.2396694214876033,0.22266291059650217,0.2575444992401102
pre_neuropil,AL_R | LH_R,3,300-400,350.0,2167,449,914.0,914.0,0.2071988924780803,0.19065942907268954,0.22477465879443073
pre_neuropil,AL_R | LH_R,4,400-500,450.0,2111,294,612.0,612.0,0.13927048792041685,0.12515482267858707,0.154696680147913
pre_neuropil,AL_R | LH_R,5,500-600,550.0,2000,236,477.0,477.0,0.118,0.10458800254130629,0.13287667530548558
pre_neuropil,AL_R | LH_R,6,600-700,650.0,2034,205,440.0,440.0,0.1007866273352999,0.08844670413152511,0.11463169018528538
pre_neuropil,AL_R | LH_R,7,700-800,750.0,1789,158,333.0,333.0,0.08831749580771381,0.07603503128459307,0.10236422049537458
pre_neuropil,AL_R | LH_R,8,800-900,850.0,1861,130,272.0,272.0,0.06985491671144546,0.05913778824160234,0.08234425505901899
pre_neuropil,AL_R | LH_R,9,900-1000,950.0,1853,103,208.0,208.0,0.05558553696708041,0.046042985665765625,0.06696697705803376
pre_neuropil,AL_R | LH_R,10,1000-1100,1050.0,1712,82,142.0,142.0,0.04789719626168224,0.038754346285838556,0.059064473353456826
pre_neuropil,AL_R | LH_R,11,1100-1200,1150.0,1718,74,147.0,147.0,0.04307334109429569,0.0344490977084775,0.05373648219620131
pre_neuropil,AL_R | LH_R,12,1200-1300,1250.0,1669,56,126.0,126.0,0.033553025763930495,0.025928512569875013,0.04331988488748138
pre_neuropil,AL_R | LH_R,13,1300-1400,1350.0,1573,51,83.0,83.0,0.03242212333121424,0.024745061201290056,0.042377470319948346
pre_neuropil,AL_R | LH_R,14,1400-1500,1450.0,1545,45,109.0,109.0,0.02912621359223301,0.021838251589046224,0.03874999707369631
pre_neuropil,AL_R | LH_R,15,1500-1600,1550.0,1579,45,69.0,69.0,0.028499050031665613,0.02136654359287697,0.03792024795973323
