partition,pair_key,near_pair_count,connected_near_pair_count,expected_connected,syn_count_sum,connected_syn_count_sum,fraction_connected,oe_ratio,log2_oe,fraction_delta_vs_global_distance,direction
cell_type,KCab | KCg-m,454750,2424,52372.20244857962,2615.0,2615.0,0.005330401319406267,0.0462840951243161,-4.43305589139718,-0.1098366189083664,depleted
cell_type,Dm3p | Tm27,7444,23,505.75780539759,24.0,24.0,0.003089736700698549,0.04547631248502249,-4.429139584382376,-0.06485193516894008,depleted
cell_type,Dm3v | L2,11550,25,500.60208026570075,32.0,32.0,0.0021645021645021645,0.0499398643863624,-4.296535374760064,-0.04117766928707366,depleted
cell_type,T3 | T4c,14991,80,1561.353648373593,109.0,109.0,0.005336535254486025,0.05123759122946501,-4.278126680348949,-0.09881619961133967,depleted
cell_type,MeMe_e08 | T4c,4572,24,468.3629070473646,25.0,25.0,0.005249343832020997,0.051242315817236414,-4.25831249391089,-0.09719223688700014,depleted
cell_type,Mi13 | T4d,7379,44,840.5716282466461,52.0,52.0,0.005962867597235398,0.052345330869398826,-4.240351428867605,-0.10795116252156745,depleted
cell_type,T3 | T4a,13704,72,1318.7419246692239,80.0,80.0,0.005253940455341506,0.05459749072439594,-4.185584347194426,-0.09097649771374955,depleted
cell_type,KCab-p | KCg-m,10732,21,387.79542777776237,21.0,21.0,0.0019567648155050317,0.05415226301232894,-4.174746154523024,-0.03417773274112583,depleted
cell_type,Dm19 | T2a,6345,27,493.1136906734224,30.0,30.0,0.00425531914893617,0.05475410744148546,-4.165878885309399,-0.07346157457421945,depleted
cell_type,Dm19 | Tm9,5636,26,471.84163734755055,33.0,33.0,0.0046132008516678496,0.05510323367424406,-4.155766451193624,-0.07910603927387341,depleted
cell_type,KCapbp-ap2 | KCg-m,73079,386,6884.20061095095,406.0,406.0,0.005281955144432737,0.05607041714995575,-4.154853599224182,-0.088920217996291,depleted
cell_type,MeMe_e08 | T4d,4244,21,377.53907164057244,25.0,25.0,0.004948162111215834,0.05562338199526161,-4.136126784728116,-0.08401014883142612,depleted
cell_type,Mi4 | Sm20,4493,24,420.33101494773797,25.0,25.0,0.005341642555085689,0.05709785656189099,-4.102387379810676,-0.0882107756393808,depleted
cell_type,C2 | MeMe_e07,4386,27,470.2559539377355,31.0,31.0,0.006155950752393981,0.05741554099190618,-4.0974758178492605,-0.10106154900541166,depleted
cell_type,C2 | Pm01,6239,29,498.1434550029305,40.0,40.0,0.004648180798204841,0.05821616184805519,-4.079221754460597,-0.07519529652234822,depleted
cell_type,Dm2 | TmY4,4071,24,412.05855344510206,29.0,29.0,0.0058953574060427415,0.05824414952521422,-4.073745237793586,-0.09532266112628397,depleted
cell_type,Dm9 | Lawf2,3212,20,344.5149786693335,20.0,20.0,0.0062266500622665,0.05805262829862634,-4.072963182360123,-0.10103206060689088,depleted
cell_type,Dm3p | T1,8215,29,494.0151395197527,39.0,39.0,0.003530127814972611,0.058702654392721224,-4.067227830003386,-0.056605616496622366,depleted
cell_type,T2a | T4c,14477,67,1128.7944628419132,79.0,79.0,0.00462803066933757,0.0593553584868916,-4.064390404626644,-0.07334354236664455,depleted
cell_type,MeTu1 | Mi2,3496,21,350.722898550495,25.0,25.0,0.006006864988558352,0.05987632996531175,-4.02997834187162,-0.09431433024899744,depleted
cell_type,T3 | T4d,13620,80,1262.7744457191782,111.0,111.0,0.005873715124816446,0.06335256487902574,-3.97203550447412,-0.08684100188833907,depleted
cell_type,T2a | T4d,12974,57,856.3447288458221,81.0,81.0,0.0043934021889933715,0.06656197916559183,-3.8973999321768393,-0.061611278622307857,depleted
cell_type,T2a | T4a,13159,61,910.7616897087717,70.0,70.0,0.004635610608708868,0.06697690591213336,-3.8892071009551183,-0.06457646399489107,depleted
cell_type,Mi4 | Sm06,3331,21,315.06023862303635,28.0,28.0,0.006304413089162414,0.06665392018929467,-3.875506868702873,-0.08827986749415681,depleted
cell_type,C3 | TmY4,4429,25,367.43530218695946,30.0,30.0,0.0056446150372544595,0.06803918907954966,-3.8508829526182846,-0.07731661824045145,depleted
cell_type,C2 | TmY11,4613,27,392.3459492932358,33.0,33.0,0.0058530240624322565,0.06881681854658438,-3.8364601608427784,-0.07919920860464683,depleted
cell_type,Dm3v | Mi15,6106,23,332.83492007490986,25.0,25.0,0.0037667867671143137,0.06910332604170104,-3.8262397997995587,-0.050742698996873545,depleted
cell_type,C2 | Tm7,4151,23,330.3743633064468,26.0,26.0,0.0055408335340881715,0.06961799266084635,-3.8155508516771777,-0.07404826868379831,depleted
cell_type,KCab | KCapbp-ap2,54264,303,4270.186417089283,315.0,315.0,0.005583812472357364,0.07095708955173344,-3.81469954777042,-0.07310899338584113,depleted
cell_type,R7 | Tm4,6004,21,291.5457536297947,27.0,27.0,0.0034976682211858763,0.07202986062580707,-3.763785843095358,-0.04506091832608173,depleted
cell_type,Dm3q | Tm27,7540,36,493.3830023100536,37.0,37.0,0.004774535809018567,0.0729656267675325,-3.7582009480520937,-0.06066087563793814,depleted
cell_type,Li22 | T3,3964,21,287.9890208999977,21.0,21.0,0.0052976791120080725,0.07291944649269151,-3.746107849976221,-0.0673534361503526,depleted
cell_type,T1 | TmY5a,4214,22,298.8422450333872,43.0,43.0,0.005220692928334125,0.07361743650915928,-3.733798988717347,-0.06569583413227034,depleted
cell_type,R8 | Tm3,6741,25,333.6196425786837,32.0,32.0,0.0037086485684616525,0.07493563570407516,-3.711795647650166,-0.045782471825943284,depleted
cell_type,Dm3v | R8,5801,20,267.92415746659,24.0,24.0,0.0034476814342354768,0.0746479906444942,-3.710818701288311,-0.04273817573980175,depleted
cell_type,Tm3 | pDm8,6497,39,502.68399280769,46.0,46.0,0.006002770509465907,0.07758353271240942,-3.6711614698079016,-0.07136893840352317,depleted
cell_type,Li15 | Tm2,6298,27,341.34420952075965,50.0,50.0,0.004287075261987933,0.07909904210154159,-3.635835464053773,-0.04991175127354075,depleted
