partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
nt,acetylcholine | glutamate,7,700-800,750.0,735159,41499,67763.0,67763.0,0.05644901307064186,0.05592376174878001,0.05697889995179742
nt,acetylcholine | glutamate,8,800-900,850.0,712214,33024,53240.0,53240.0,0.04636808599662461,0.04588215597016002,0.046858909672922285
nt,acetylcholine | glutamate,9,900-1000,950.0,694025,26160,41387.0,41387.0,0.037693166672670295,0.03724763848925741,0.03814381279304618
nt,acetylcholine | glutamate,10,1000-1100,1050.0,662990,21035,33176.0,33176.0,0.03172747703585273,0.03130827349997063,0.03215210721557778
nt,acetylcholine | glutamate,11,1100-1200,1150.0,652356,17613,27622.0,27622.0,0.026999061861928148,0.026608519751568294,0.027395174764013912
nt,acetylcholine | glutamate,12,1200-1300,1250.0,629824,14194,22217.0,22217.0,0.022536454628594656,0.022172801100219304,0.022905932681815525
nt,acetylcholine | glutamate,13,1300-1400,1350.0,612618,11746,18451.0,18451.0,0.019173449033492322,0.018833046378323514,0.019519881977340902
nt,acetylcholine | glutamate,14,1400-1500,1450.0,600664,9791,15157.0,15157.0,0.01630029434092937,0.015983138603462902,0.016623637127745148
nt,acetylcholine | glutamate,15,1500-1600,1550.0,578655,8274,12813.0,12813.0,0.014298675376519687,0.013995992807355171,0.01460780689305884
nt,acetylcholine | glutamate,16,1600-1700,1650.0,572758,6836,10740.0,10740.0,0.011935232681167264,0.01165724709269119,0.012219765317557332
nt,acetylcholine | glutamate,17,1700-1800,1750.0,558375,6291,9784.0,9784.0,0.011266621893888516,0.01099312442230592,0.011546844255475731
nt,acetylcholine | glutamate,18,1800-1900,1850.0,548813,5444,8295.0,8295.0,0.009919590097173353,0.009660803085560252,0.010185238023977007
nt,acetylcholine | glutamate,19,1900-2000,1950.0,540933,4833,7622.0,7622.0,0.008934563060489932,0.008687259104015597,0.009188841868139005
nt,acetylcholine | octopamine,0,0-100,50.0,66147,26626,90581.0,90581.0,0.4025277034483801,0.3987961698706303,0.40627055810883655
nt,acetylcholine | octopamine,1,100-200,150.0,32171,8181,14256.0,14256.0,0.2542973485437195,0.24956829659159713,0.2590850731269347
nt,acetylcholine | octopamine,2,200-300,250.0,21020,3989,6380.0,6380.0,0.18977164605137964,0.18452749825593662,0.19512916734603408
nt,acetylcholine | octopamine,3,300-400,350.0,18786,2999,4500.0,4500.0,0.15964015756414351,0.1544720933479832,0.16494739553158247
nt,acetylcholine | octopamine,4,400-500,450.0,18193,2367,3412.0,3412.0,0.13010498543395813,0.12529436988439285,0.13507178068978154
nt,acetylcholine | octopamine,5,500-600,550.0,16605,1704,2533.0,2533.0,0.1026196928635953,0.0980954965241316,0.10732771613387823
nt,acetylcholine | octopamine,6,600-700,650.0,16153,1467,2094.0,2094.0,0.09081904290224727,0.08648437050521275,0.0953482965922972
nt,acetylcholine | octopamine,7,700-800,750.0,15267,1141,1575.0,1575.0,0.07473635946813388,0.07067113104182407,0.07901555027376234
nt,acetylcholine | octopamine,8,800-900,850.0,14587,924,1204.0,1204.0,0.06334407349009392,0.059504986018808693,0.06741309388139394
nt,acetylcholine | octopamine,9,900-1000,950.0,14035,784,1080.0,1080.0,0.055860349127182046,0.05218101830287901,0.05978274941995079
nt,acetylcholine | octopamine,10,1000-1100,1050.0,13163,627,817.0,817.0,0.04763351819494036,0.044125017058187915,0.05140598712735647
nt,acetylcholine | octopamine,11,1100-1200,1150.0,12776,591,753.0,753.0,0.046258609893550406,0.042750744036457254,0.050039263626861515
nt,acetylcholine | octopamine,12,1200-1300,1250.0,12169,413,564.0,564.0,0.033938696688306354,0.03086572307832354,0.03730583679804912
nt,acetylcholine | octopamine,13,1300-1400,1350.0,11424,341,444.0,444.0,0.029849439775910366,0.026883435385224416,0.03313153717092303
nt,acetylcholine | octopamine,14,1400-1500,1450.0,11253,309,373.0,373.0,0.027459344174886696,0.024597416775179796,0.030643797598841418
nt,acetylcholine | octopamine,15,1500-1600,1550.0,10562,253,331.0,331.0,0.023953796629426247,0.021206158078289735,0.027047603363676235
nt,acetylcholine | octopamine,16,1600-1700,1650.0,10290,234,283.0,283.0,0.022740524781341108,0.020033265074044238,0.025804005241053675
nt,acetylcholine | octopamine,17,1700-1800,1750.0,9755,184,215.0,215.0,0.01886212198872373,0.01634579710472049,0.02175724987987243
nt,acetylcholine | octopamine,18,1800-1900,1850.0,9550,161,222.0,222.0,0.016858638743455497,0.014464026337216522,0.019641793462014813
nt,acetylcholine | octopamine,19,1900-2000,1950.0,9213,136,166.0,166.0,0.014761749701508738,0.012493611605824715,0.0174343845528594
nt,acetylcholine | serotonin,0,0-100,50.0,116930,54366,384297.0,384297.0,0.4649448387924399,0.462087175846415,0.4678048050564
nt,acetylcholine | serotonin,1,100-200,150.0,43930,10943,24479.0,24479.0,0.24910084224903256,0.24507850043342508,0.2531670615936389
nt,acetylcholine | serotonin,2,200-300,250.0,30384,5724,11311.0,11311.0,0.18838862559241706,0.18403133796179746,0.192824700408496
nt,acetylcholine | serotonin,3,300-400,350.0,28284,4290,7707.0,7707.0,0.15167585914297838,0.1475427121376836,0.15590361372126776
nt,acetylcholine | serotonin,4,400-500,450.0,28361,3477,6020.0,6020.0,0.12259793378230668,0.11883184017244679,0.12646625449415624
nt,acetylcholine | serotonin,5,500-600,550.0,27198,2703,4506.0,4506.0,0.09938230752261196,0.09588309037299768,0.10299467972621502
nt,acetylcholine | serotonin,6,600-700,650.0,27536,2260,3552.0,3552.0,0.08207437536316095,0.07889037351202197,0.08537497215358275
nt,acetylcholine | serotonin,7,700-800,750.0,26750,1841,2908.0,2908.0,0.06882242990654205,0.06585020945020384,0.07191847644946897
nt,acetylcholine | serotonin,8,800-900,850.0,26244,1350,2108.0,2108.0,0.051440329218107,0.048832822722924746,0.05417913693474097
nt,acetylcholine | serotonin,9,900-1000,950.0,25851,1248,1969.0,1969.0,0.04827666241151213,0.045730101363315415,0.05095746062894217
nt,acetylcholine | serotonin,10,1000-1100,1050.0,25125,1050,1502.0,1502.0,0.041791044776119404,0.03938586406868655,0.04433632390515145
nt,acetylcholine | serotonin,11,1100-1200,1150.0,24636,825,1194.0,1194.0,0.03348757915245981,0.03131275860039131,0.035807867694543964
nt,acetylcholine | serotonin,12,1200-1300,1250.0,24233,722,1073.0,1073.0,0.029794082449552263,0.027726815182751913,0.03201040734380039
nt,acetylcholine | serotonin,13,1300-1400,1350.0,23597,611,903.0,903.0,0.025893122007034794,0.02394259933205732,0.02799798909170465
nt,acetylcholine | serotonin,14,1400-1500,1450.0,23590,561,849.0,849.0,0.02378126324713862,0.0219130260450641,0.025804578365741133
nt,acetylcholine | serotonin,15,1500-1600,1550.0,22564,424,627.0,627.0,0.018790994504520476,0.017099411157614403,0.02064640499522495
nt,acetylcholine | serotonin,16,1600-1700,1650.0,22625,424,630.0,630.0,0.018740331491712708,0.01705327114786164,0.020590794556323587
nt,acetylcholine | serotonin,17,1700-1800,1750.0,22300,319,446.0,446.0,0.01430493273542601,0.012827939459187284,0.015949237652759213
nt,acetylcholine | serotonin,18,1800-1900,1850.0,21915,316,443.0,443.0,0.014419347478895733,0.012923944685518038,0.016084960602615436
nt,acetylcholine | serotonin,19,1900-2000,1950.0,21767,264,406.0,406.0,0.012128451325400837,0.01075796968811265,0.01367110888274058
nt,dopamine | dopamine,0,0-100,50.0,561414,215745,506097.0,506097.0,0.3842885998567902,0.3830169718916067,0.38556181137305395
nt,dopamine | dopamine,1,100-200,150.0,200227,38880,51219.0,51219.0,0.19417960614702312,0.19245281093653416,0.19591813620930248
nt,dopamine | dopamine,2,200-300,250.0,150244,21601,26623.0,26623.0,0.143772796251431,0.1420077535653608,0.14555605527141116
nt,dopamine | dopamine,3,300-400,350.0,145008,16595,19739.0,19739.0,0.11444196182279598,0.11281360989132129,0.11609074187576911
nt,dopamine | dopamine,4,400-500,450.0,149379,13259,15303.0,15303.0,0.08876080305799343,0.08732911656180037,0.09021364079862729
nt,dopamine | dopamine,5,500-600,550.0,146303,10259,11666.0,11666.0,0.07012159695973424,0.06882436877777942,0.07144139990107912
nt,dopamine | dopamine,6,600-700,650.0,150703,8466,9465.0,9465.0,0.056176718446215405,0.05502542275627959,0.057350640733594506
nt,dopamine | dopamine,7,700-800,750.0,147530,6780,7509.0,7509.0,0.0459567545583949,0.04490002559455414,0.047037128978935944
nt,dopamine | dopamine,8,800-900,850.0,146045,5291,5806.0,5806.0,0.036228559690506354,0.03528234097169514,0.03719917606075492
nt,dopamine | dopamine,9,900-1000,950.0,143849,4399,4743.0,4743.0,0.03058067835021446,0.029703359028734916,0.031483069422046546
nt,dopamine | dopamine,10,1000-1100,1050.0,138502,3449,3723.0,3723.0,0.024902167477725952,0.024094576307934844,0.02573611328804823
nt,dopamine | dopamine,11,1100-1200,1150.0,137514,2895,3100.0,3100.0,0.021052401937257298,0.020306898857961525,0.02182466409117656
nt,dopamine | dopamine,12,1200-1300,1250.0,132795,2408,2552.0,2552.0,0.018133212846869234,0.01742935054478119,0.018864953998309043
nt,dopamine | dopamine,13,1300-1400,1350.0,130027,1901,2015.0,2015.0,0.014620040453136656,0.013981830208903902,0.015286930595609722
nt,dopamine | dopamine,14,1400-1500,1450.0,127132,1650,1747.0,1747.0,0.012978636377937891,0.01237102160196023,0.013615683314775069
nt,dopamine | dopamine,15,1500-1600,1550.0,123013,1307,1387.0,1387.0,0.010624893303959744,0.010067022064033013,0.0112133291947982
nt,dopamine | dopamine,16,1600-1700,1650.0,120888,1149,1213.0,1213.0,0.009504665475481438,0.008973074215390744,0.010067429837944813
nt,dopamine | dopamine,17,1700-1800,1750.0,116382,967,1021.0,1021.0,0.008308845010396797,0.007803309726258004,0.008846839238253157
nt,dopamine | dopamine,18,1800-1900,1850.0,114791,805,846.0,846.0,0.007012744901603784,0.006546223679565524,0.007512261680111123
nt,dopamine | dopamine,19,1900-2000,1950.0,111878,699,740.0,740.0,0.006247877151897603,0.005802796551656156,0.006726864919343442
nt,dopamine | gaba,0,0-100,50.0,90700,49070,418302.0,418302.0,0.5410143329658214,0.5377695936980693,0.5442555980552202
nt,dopamine | gaba,1,100-200,150.0,29187,7024,14570.0,14570.0,0.24065508616849968,0.235785105081463,0.24559332835157643
nt,dopamine | gaba,2,200-300,250.0,18689,3416,6235.0,6235.0,0.18278131521215688,0.17730556657116237,0.18838744823510445
nt,dopamine | gaba,3,300-400,350.0,17062,2634,4679.0,4679.0,0.15437815027546595,0.14903447018048668,0.1598774325293099
nt,dopamine | gaba,4,400-500,450.0,16335,2001,3306.0,3306.0,0.12249770431588614,0.11755839399512757,0.12761453185048438
nt,dopamine | gaba,5,500-600,550.0,15224,1518,2487.0,2487.0,0.09971098265895954,0.0950520731490654,0.10457185779594787
nt,dopamine | gaba,6,600-700,650.0,15222,1292,1980.0,1980.0,0.08487715149126264,0.08055374320895436,0.08941003731533534
nt,dopamine | gaba,7,700-800,750.0,14281,969,1406.0,1406.0,0.06785239128912542,0.06384273712149802,0.07209447901116112
